gene_name	uniprot_id	length	Hk
waaZ	P27241	283	0
mliC	P28224	109	0
insZ	P30192	299	0
basS	P30844	363	0
glvC	P31452	368	0
yfiC	P31825	245	0
yihS	P32140	413	0
yjbG	P32688	245	0
psuG	P33025	312	0
adiY	P33234	253	0
ogrK	P37057	72	0
mdtE	P37636	385	0
caiE	P39206	196	0
yjgR	P39342	500	0
yhaK	P42624	233	0
agaW	P42905	133	1
yhfZ	P45552	301	0
luxS	P45578	171	0
yddG	P46136	293	0
rtcA	P46849	338	0
yhhZ	P46855	392	0
ysgA	P56262	271	0
cbpM	P63264	101	1
cnu	P64467	71	0
yeeW	P64526	64	0
yhfU	P64631	117	0
ygdR	P65294	72	0
yqhH	P65298	85	0
fixX	P68646	95	0
nfi	P68739	223	0
rutA	P75898	382	0
ymfD	P75967	221	0
ldcA	P76008	304	0
ydaY	P76069	119	0
ydfX	P76165	96	0
rsxD	P76182	352	0
tsaB	P76256	231	1
mntP	P76264	188	0
yeeJ	P76347	2339	0
yfaP	P76462	258	0
rhmT	P76470	429	1
sixA	P76502	161	0
glaH	P76621	325	0
yahG	P77221	472	0
yphC	P77360	353	0
yfeW	P77619	434	0
yahB	P77700	310	0
ycjP	P77716	280	0
yicS	Q2M7X4	97	0
idi	Q46822	182	0
yqcC	Q46919	109	0
kduI	Q46938	278	0
yajL	Q46948	196	0
yafQ	Q47149	92	0
sgrT	C1P5Z7	43	0
rzoQ	C1P601	84	0
phoE	P02932	351	0
mioC	P03817	147	0
kefC	P03819	620	0
fliM	P06974	334	0
ompC	P06996	367	0
hemX	P09127	393	0
dedD	P09549	220	0
fis	P0A6R3	98	1
hybF	P0A703	113	0
rpmE	P0A7M9	70	0
rpsS	P0A7U3	92	1
rpoZ	P0A800	91	0
smg	P0A828	157	0
ybjQ	P0A8C1	107	1
psd	P0A8K1	322	0
rimJ	P0A948	194	0
cspD	P0A968	74	0
cspG	P0A978	70	0
livG	P0A9S7	255	0
hybA	P0AAJ8	328	0
lapB	P0AB58	389	0
corA	P0ABI4	316	1
cyoB	P0ABI8	663	0
etp	P0ACZ2	148	0
ilvN	P0ADF8	96	0
amn	P0AE12	484	0
aphA	P0AE22	237	0
ytfP	P0AE48	113	0
marC	P0AEY1	221	0
yjfI	P0AF76	133	0
pdxH	P0AFI7	218	0
umuD	P0AG11	139	0
rpmD	P0AG51	59	0
yhhT	P0AGM0	349	0
slmA	P0C093	198	0
ytiA	P0DN74	85	0
ymcF	P0DPC8	62	0
ybgV	P0DSE6	10	0
ydgV	P0DSF5	33	0
yodE	P0DSF8	48	0
pssL	P0DSG0	13	0
yibD	P11290	344	0
fumE	P11663	169	0
selB	P14081	614	0
proV	P14175	400	0
fecE	P15031	255	0
hycD	P16430	307	0
phnI	P16687	354	0
hyaD	P19930	195	1
rna	P21338	268	0
cysQ	P22255	246	0
acpS	P24224	126	1
aslB	P25550	411	0
wecE	P27833	376	0
rarD	P27844	296	0
fimC	P31697	241	0
yjaH	P32681	231	0
yohF	P33368	253	0
yadL	P37017	201	0
yaeF	P37056	274	0
ptsP	P37177	748	0
ybcH	P37325	296	0
yhhS	P37621	405	0
yhiL	P37629	535	0
wbbK	P37751	372	0
kduD	P37769	253	0
yjfK	P39293	219	0
yjhU	P39356	328	0
sgcA	P39363	143	1
yjhP	P39367	248	0
yqjF	P42619	130	0
ygaH	P43667	111	0
uup	P43672	635	0
ftsK	P46889	1329	0
yohJ	P60632	132	0
kup	P63183	622	0
gadE	P63204	175	0
zitB	P75757	313	0
dgcI	P75801	442	0
ybjD	P75828	552	0
pgaB	P75906	672	0
thiK	P75948	274	0
cobB	P75960	279	0
ycjN	P76042	430	0
paaI	P76084	140	0
lsrR	P76141	317	0
yneG	P76148	119	1
ynjH	P76227	90	0
eutQ	P76555	233	0
ygaQ	P76616	750	0
dgcM	P77302	410	0
yfhR	P77538	284	0
menI	P77781	136	1
xdhA	Q46799	752	0
glcA	Q46839	560	0
yqjK	Q47710	99	1
yghX	Q7DFU6	117	0
ymdE	Q7DFV4	107	0
yjbT	A5A628	92	0
ytcA	A5A630	91	0
lspA	P00804	164	1
alaS	P00957	876	1
tolC	P02930	493	0
recD	P04993	608	0
sbcB	P04995	475	0
tsaD	P05852	337	0
ilvB	P08142	562	0
yciH	P08245	108	0
aroK	P0A6D7	173	1
ihfA	P0A6X7	99	0
eda	P0A955	213	0
alaA	P0A959	405	0
phoU	P0A9K7	241	0
pta	P0A9M8	714	0
lpdA	P0A9P0	474	1
fucO	P0A9S1	382	0
rplM	P0AA10	142	1
ompR	P0AA16	239	0
rluC	P0AA39	319	0
pstB	P0AAH0	257	0
napF	P0AAL0	164	0
ycfJ	P0AB35	179	0
napB	P0ABL3	149	0
flhC	P0ABY7	192	0
zwf	P0AC53	491	1
glgP	P0AC86	815	0
mpaA	P0ACV6	242	1
thrL	P0AD86	21	0
chaB	P0AE63	76	0
dpiA	P0AEF4	226	0
elaA	P0AEH3	153	1
eutB	P0AEJ6	453	0
hycI	P0AEV9	156	1
mltD	P0AEZ7	452	0
nuoE	P0AFD1	166	0
sucA	P0AFG3	933	1
uraA	P0AGM7	429	0
insB3	P0CF27	167	0
insB6	P0CF29	167	0
insE3	P0CF68	99	1
ynfR	P0DPO9	21	0
tdcD	P11868	402	0
aroC	P12008	361	0
ung	P12295	229	0
topB	P14294	653	0
purL	P15254	1295	0
rhsC	P16918	1397	0
chbF	P17411	450	0
murG	P17443	355	1
acnA	P25516	891	0
waaU	P27242	357	0
potG	P31134	377	0
setC	P31436	394	0
mdtL	P31462	391	0
thiP	P31549	536	0
ydeK	P32051	1325	0
yihT	P32141	292	0
mdtQ	P33369	478	0
ydbA	P33666	852	0
yccE	P36661	418	0
pagP	P37001	186	0
yaeI	P37049	270	0
yhjG	P37645	686	0
uxuR	P39161	257	0
alsB	P39265	311	0
yjeH	P39277	418	0
nlpE	P40710	236	0
ygjP	P42597	167	0
yhcE	P45421	181	0
nanQ	P45424	154	0
csgC	P52107	110	0
pepA	P68767	503	0
mdtJ	P69212	121	0
nrdB	P69924	376	1
yaaY	P75620	72	0
yahN	P75693	223	0
ybjI	P75809	271	0
ymfL	P75976	185	0
ymgA	P75992	90	0
rlhA	P76104	653	0
yncI	P76119	248	0
ydjK	P76230	459	0
zinT	P76344	216	0
mdtC	P76399	1025	0
yfdI	P76507	443	0
yahC	P77219	165	0
hyfG	P77329	555	0
paoC	P77489	732	0
yfcF	P77544	214	0
ycjW	P77615	332	0
ynfF	P77783	807	0
ypdJ	Q2EET0	46	0
uacT	Q46821	482	0
yqeJ	Q46943	160	0
fadE	Q47146	814	0
yafW	Q47684	105	0
insO2	Q47718	198	0
nudF	Q93K97	209	0
yshB	C1P620	36	0
metL	P00562	810	0
lamB	P02943	446	0
dicA	P06966	135	1
sdiA	P07026	240	0
metAS	P07623	309	0
recB	P08394	1180	0
ompT	P09169	317	0
ftsB	P0A6S5	103	1
prs	P0A717	315	1
rpsJ	P0A7R5	103	1
uvrB	P0A8F8	673	0
wrbA	P0A8G6	198	0
cspH	P0A982	70	0
ettA	P0A9W3	555	0
wzxE	P0AAA7	416	0
dksA	P0ABS1	151	0
gntU	P0AC96	446	0
hemY	P0ACB7	398	0
sfsB	P0ACH1	92	0
glcC	P0ACL5	254	0
rspR	P0ACM2	228	0
lptE	P0ADC1	193	1
rhoL	P0ADF3	33	0
mazE	P0AE72	82	0
dacA	P0AEB2	403	0
yciO	P0AFR4	206	0
trxC	P0AGG4	139	1
ldrA	P0DPD0	35	0
ykgS	P0DPM8	42	0
yriB	P0DSH0	17	0
ytgB	P0DV21	18	0
bioC	P12999	251	0
srlR	P15082	257	0
hycG	P16433	255	0
phnN	P16690	185	0
menD	P17109	556	0
yfaA	P17994	562	0
pncA	P21369	213	0
yggF	P21437	321	0
folD	P24186	288	0
amiB	P26365	445	0
appC	P26459	514	0
leuB	P30125	363	0
yabI	P30149	254	0
panB	P31057	264	0
caiD	P31551	261	0
frvA	P32155	148	0
yiiM	P32157	224	0
yjbF	P32687	212	0
torC	P33226	390	0
eaeH	P36943	295	0
yjjI	P37342	516	0
yhiI	P37626	355	0
sgbU	P37679	286	0
yjeN	P39283	104	0
torS	P39453	914	0
frlD	P45543	261	1
yhdP	P46474	1266	0
ypjK	P52134	78	0
fliZ	P52627	183	0
rzoR	P58042	61	0
hisS	P60906	424	1
mdoH	P62517	847	0
apaG	P62672	125	0
yqeG	P63340	409	0
ypfJ	P64429	287	0
ynaJ	P64445	85	1
yebO	P64499	95	0
cbtA	P64524	124	1
yefM	P69346	83	0
manZ	P69805	283	0
gatC	P69831	451	0
yaaX	P75616	98	0
gfcD	P75882	698	0
ycdX	P75914	245	1
lolD	P75957	233	1
ycfZ	P75961	262	0
croE	P75975	66	0
dhaK	P76015	356	0
ydaS	P76063	98	1
paaE	P76081	356	0
mcbR	P76114	221	0
ydfO	P76156	136	0
yobB	P76280	218	0
yeeY	P76369	309	0
wzc	P76387	720	0
arnT	P76473	550	0
yfcP	P76499	179	0
eutH	P76552	408	0
yfhM	P76578	1653	0
ykgH	P77180	222	0
ydeU	P77286	466	0
rclR	P77379	284	0
arnB	P77690	385	0
ybcK	P77698	508	0
ydiT	P77714	97	1
yafF	Q2EEP9	62	0
dinB	Q47155	351	0
yjgW	Q9Z3A0	111	0
ttdA	P05847	303	0
birA	P06709	321	1
pheT	P07395	795	0
aroB	P07639	362	0
fhuD	P07822	296	0
mtlD	P09424	382	0
rep	P09980	673	0
coaE	P0A6I9	206	1
cysC	P0A6J1	201	0
fabH	P0A6R0	317	1
hslV	P0A7B8	176	0
pyrH	P0A7E9	241	1
rpmG	P0A7N9	55	0
rpsR	P0A7T7	75	0
talA	P0A867	316	0
rapZ	P0A894	284	0
yfbV	P0A8D9	151	0
yihI	P0A8H6	169	0
ftnB	P0A9A2	167	0
qmcA	P0AA53	305	0
wzb	P0AAB2	147	1
fucA	P0AB87	215	0
mgtA	P0ABB8	898	0
nrfB	P0ABL1	188	0
dedA	P0ABP6	219	0
hcaE	P0ABR5	453	0
sfmA	P0ABW5	180	0
grxB	P0AC59	215	0
yegW	P0ACM5	248	0
ispB	P0AD57	323	1
yqaA	P0ADR0	142	0
eutN	P0AEJ8	95	1
fabG	P0AEK2	244	0
flgM	P0AEM4	97	0
nusA	P0AFF6	495	0
yiiF	P0AFU6	72	0
chrR	P0AGE6	188	0
yfiF	P0AGJ5	345	0
insH3	P0CE51	326	0
yrfJ	P0DV19	17	0
ugpQ	P10908	247	0
ampD	P13016	183	0
mcrB	P15005	459	0
chbR	P17410	280	0
pncB	P18133	400	0
eutC	P19636	295	0
asnB	P22106	554	0
mutS	P23909	853	0
yicR	P25531	222	0
preA	P25889	411	0
hcxB	P30178	361	0
ybeF	P30979	317	0
pptA	P31992	77	0
yihV	P32143	298	0
alsC	P32720	326	0
flgK	P33235	547	0
gatR	P36930	112	0
lasT	P37005	228	0
yiaD	P37665	219	0
ytfB	P39310	212	0
qorB	P39315	286	0
lgoR	P39399	304	0
yfeH	P39836	332	0
fadH	P42593	672	0
yhaL	P42625	54	0
agaS	P42907	384	0
ynfM	P43531	417	0
yfaL	P45508	1250	0
xapA	P45563	277	0
yhhW	P46852	231	0
aaaT	P46854	162	0
abpB	P52126	729	0
yoaF	P64493	84	0
yoaG	P64496	60	0
ypeC	P64542	108	0
tadA	P68398	167	1
crr	P69783	169	0
fryB	P69808	108	1
gadB	P69910	466	0
renD	P75718	61	0
mdoC	P75920	385	0
cohE	P75974	224	1
ymfN	P75978	455	0
ydcO	P76103	391	0
yncG	P76117	205	0
cmoB	P76291	323	1
intG	P76323	92	0
hiuH	P76341	137	0
mdtB	P76398	1040	0
yfbN	P76484	238	0
yfdS	P76515	120	0
paaY	P77181	196	1
fetB	P77307	259	0
ydgJ	P77376	346	0
ycjV	P77481	360	0
fryC	P77579	415	0
yqiH	P77616	249	0
ybaY	P77717	190	0
tcdA	Q46927	268	0
elaD	Q47013	403	0
tisB	A5A627	29	0
shoB	C1P611	26	0
ileS	P00956	938	1
araF	P02924	329	1
gspB	P03825	139	0
ilvC	P05793	491	0
dacC	P08506	400	0
galE	P09147	338	0
rhaS	P09377	278	0
cmk	P0A6I0	227	1
cysZ	P0A6J3	253	0
flgI	P0A6S3	365	0
kefF	P0A754	176	0
rplS	P0A7K6	115	1
tig	P0A850	432	0
trpA	P0A877	268	0
lysU	P0A8N5	505	0
cspF	P0A976	70	0
fdx	P0A9R4	111	1
ybgS	P0AAV6	126	0
yceD	P0AB28	173	0
ycgL	P0AB43	108	0
ccmD	P0ABM5	69	0
fumA	P0AC33	548	0
gstB	P0ACA7	208	0
wcaF	P0ACD2	182	0
cytR	P0ACN7	341	0
gntR	P0ACP5	331	0
ppnN	P0ADR8	454	0
mdfA	P0AEY8	410	0
ghxP	P0AF52	449	0
nuoK	P0AFE4	100	0
pspC	P0AFN2	119	1
hpf	P0AFX0	95	0
rseA	P0AFX7	216	0
tufB	P0CE48	394	1
insI3	P0CF89	383	0
rcsA	P0DMC9	207	0
phnE	P0DP70	122	0
ymjE	P0DPO2	54	0
nadA	P11458	347	0
recE	P15032	866	0
miaA	P16384	316	1
dmsC	P18777	287	0
nadE	P18843	275	1
malZ	P21517	604	0
ybhA	P21829	272	1
kdpD	P21865	894	0
pspE	P23857	104	1
ygbA	P25728	117	1
waaG	P25740	374	0
glgS	P26649	66	0
prlC	P27298	680	0
tktA	P27302	663	1
roxA	P27431	373	1
hypF	P30131	750	0
thiC	P30136	631	0
potF	P31133	370	0
potH	P31135	317	0
yicI	P31434	772	0
fcl	P32055	321	0
yihM	P32134	326	0
yiiX	P32167	202	0
alsE	P32719	231	0
yfiH	P33644	243	0
ybbD	P33669	86	0
kdpF	P36937	29	0
ychJ	P37052	152	0
glcB	P37330	723	0
yibQ	P37691	319	0
rfbC	P37745	185	0
chbG	P37794	249	0
cysJ	P38038	599	0
yabP	P39220	216	0
yjhH	P39359	301	0
sgcC	P39365	437	0
agaB	P42909	158	0
ttdR	P45463	310	0
yhdW	P45766	341	0
yhdX	P45767	393	0
gntX	P46846	227	0
hslJ	P52644	140	1
rplX	P60624	104	1
yodD	P64519	75	0
sdhC	P69054	129	0
mdtI	P69210	109	1
rutD	P75895	266	0
ydaQ	P76057	71	0
ydjZ	P76221	235	0
yfdX	P76520	211	1
ompL	P76773	230	0
mnmC	P77182	668	0
borD	P77330	97	0
djlB	P77381	475	0
ykgF	P77536	475	0
yghF	Q46834	331	0
gpr	Q46851	346	0
ubiK	Q46868	96	0
sapA	Q47622	547	0
yjdP	Q6BEX5	109	0
yqcG	C1P612	46	0
ilvX	C1P619	16	0
ilvH	P00894	163	0
trpS	P00954	334	1
pyrC	P05020	348	0
pabB	P05041	453	0
ilvD	P05791	616	0
hisC	P06986	356	0
cheR	P07364	286	1
ymfS	P09154	137	0
carA	P0A6F1	382	0
eno	P0A6P9	432	0
mnmG	P0A6U3	629	0
glk	P0A6V8	321	0
psiE	P0A7C8	136	1
selA	P0A821	463	0
yaiI	P0A8D3	152	0
upp	P0A8F0	208	0
thrS	P0A8M3	642	1
bamA	P0A940	810	1
ftnA	P0A998	165	0
yhbE	P0AA73	321	0
folA	P0ABQ4	159	1
exbD	P0ABV2	141	0
ebgC	P0AC73	149	0
asnC	P0ACI6	152	0
glpR	P0ACL0	252	0
lptG	P0ADC6	360	1
yjjP	P0ADD5	256	0
rplN	P0ADY3	123	1
dcuS	P0AEC8	543	0
miaB	P0AEI1	474	0
gltK	P0AER5	224	1
hisJ	P0AEU0	260	0
nsrR	P0AF63	141	0
nupC	P0AFF2	400	0
psiF	P0AFM4	106	0
atl	P0AFP2	129	0
pstC	P0AGH8	319	0
trmH	P0AGJ2	229	0
insA4	P0CF10	91	0
insD5	P0CF57	301	0
secA	P10408	901	1
ugpE	P10906	281	0
ligA	P15042	671	1
betB	P17445	490	0
garL	P23522	256	0
yicC	P23839	287	0
yjiA	P24203	318	0
ribD	P25539	367	1
rhlE	P25888	454	0
treC	P28904	551	0
smf	P30852	374	0
nohD	P31062	181	0
yidP	P31453	238	1
yaaU	P31679	443	0
lplA	P32099	338	0
dusA	P32695	345	0
yehD	P33343	180	1
nuoC	P33599	596	0
treB	P36672	473	0
rdgC	P36767	303	0
rlmN	P36979	384	0
yadM	P37018	189	0
sfmF	P38052	171	0
sieB	P38392	162	0
yggL	P38521	108	1
nanM	P39371	368	0
btsT	P39396	716	0
yraQ	P45468	346	0
rnlB	P52130	123	0
secM	P62395	170	1
yebV	P64503	78	0
mlaB	P64602	97	0
ynfC	P67553	236	0
yoeB	P69348	84	0
hyaA	P69739	372	1
wcaK	P71242	426	0
rclC	P75685	197	0
hcr	P75824	322	0
ycaP	P75839	230	0
ssuA	P75853	319	0
ycbX	P75863	369	0
rlmI	P75876	396	0
gfcA	P75885	101	1
ymfJ	P75973	102	1
ycgR	P76010	244	0
ydfV	P76163	101	1
ynfH	P76173	284	0
rsmF	P76273	479	0
yegH	P76389	527	0
thiD	P76422	266	0
yfdT	P76516	101	0
hyfJ	P77453	137	0
ydaV	P77546	248	0
arnC	P77757	322	0
rrrD	P78285	165	0
ychQ	Q46755	130	1
uacR	Q46802	592	0
yghS	Q46843	237	0
aspC	P00509	396	0
ppc	P00864	883	0
trpGD	P00904	531	0
yfiB	P07021	160	0
lysC	P08660	449	0
xylB	P09099	484	0
frr	P0A805	185	1
ycfP	P0A8E1	180	1
glpC	P0A996	396	0
ydiO	P0A9U8	383	1
bamD	P0AC02	245	0
deoR	P0ACK5	252	0
leuL	P0AD79	28	0
yjiX	P0ADC8	67	0
yidX	P0ADM6	218	0
yigI	P0ADP2	155	0
tabA	P0AF96	150	0
ybbO	P0AFP4	269	0
yhbY	P0AGK4	97	0
ibpB	P0C058	142	0
insH11	P0CE58	326	0
ynfQ	P0DPC9	62	0
ychT	P0DSE9	17	0
ymgN	P0DUW1	19	0
bioD1	P13000	225	0
rimL	P13857	179	1
fumB	P14407	548	0
cysI	P17846	570	0
entD	P19925	206	0
yciG	P21361	59	0
gabT	P22256	426	0
hyfA	P23481	205	0
ppiB	P23869	164	1
hemH	P23871	320	1
fepC	P23878	271	0
trhO	P24188	350	0
yidC	P25714	548	0
waaQ	P25742	344	0
rffG	P27830	355	0
thiF	P30138	251	0
evgS	P30855	1197	0
dgoR	P31460	229	0
efeB	P31545	423	0
frvR	P32152	582	0
nuoG	P33602	908	0
cobT	P36562	359	0
yhjD	P37642	337	0
yiaY	P37686	383	0
tcyN	P37774	250	0
rspB	P38105	339	0
uxuB	P39160	486	0
erfK	P39176	310	0
dtpC	P39276	485	0
kptA	P39380	184	0
qseC	P40719	449	0
nanK	P45425	291	0
tusB	P45530	95	1
gspD	P45758	650	0
yhdY	P45768	367	0
rseC	P46187	159	0
aaeX	P46478	67	0
aaeA	P46482	310	0
rtcB	P46850	408	0
aer	P50466	506	0
ycjG	P51981	321	0
rnlA	P52129	357	0
mlaE	P64606	260	0
queD	P65870	121	0
ygeX	P66899	398	0
yggS	P67080	234	0
ygdQ	P67127	237	0
yoaH	P67338	59	0
ptsG	P69786	477	0
chbA	P69791	116	1
ycdU	P75910	328	0
ymfH	P75971	103	0
ymgE	P76011	84	0
ynaE	P76073	77	0
paaD	P76080	165	0
safA	P76136	65	0
yebQ	P76269	457	0
yebZ	P76278	290	0
yedS	P76335	161	0
shiA	P76350	438	0
atoA	P76459	216	0
yfeX	P76536	299	0
eutL	P76541	219	1
pinH	P76611	47	0
ybdK	P77213	372	0
essQ	P77237	71	1
pgrR	P77333	299	0
ydiS	P77337	429	0
ynfE	P77374	808	0
hxpA	P77625	216	0
ybeR	P77627	235	0
allA	P77731	160	1
yniA	P77739	286	0
torI	Q2EES9	66	0
otnI	Q46891	258	0
copA	Q59385	834	0
insH21	A0A385XJE6	326	0
sodA	P00448	206	0
mtlA	P00550	637	0
tpr	P02338	29	0
malM	P03841	306	0
kdpC	P03961	190	0
ada	P06134	354	0
valS	P07118	951	1
sppA	P08395	618	0
acpP	P0A6A8	78	0
aroA	P0A6D3	427	0
groEL	P0A6F5	548	1
coaD	P0A6I6	159	1
fabA	P0A6Q3	172	1
nikR	P0A6Z6	133	0
ndk	P0A763	143	1
pdxJ	P0A794	243	1
rpsK	P0A7R9	129	0
rpsE	P0A7W1	167	1
glyA	P0A825	417	1
smrB	P0A8B2	183	0
yajQ	P0A8E7	163	0
rpoC	P0A8T7	1407	1
wza	P0A930	379	0
gstA	P0A9D2	201	0
hpt	P0A9M2	178	0
yfdV	P0AA49	314	0
ttdB	P0AC35	201	0
exuR	P0ACL2	258	0
ydbJ	P0ACW2	88	0
yeaL	P0ACY6	148	0
lolC	P0ADC3	399	1
ytfK	P0ADE2	68	0
yecD	P0ADI7	188	0
lptA	P0ADV1	185	0
araH	P0AE26	328	0
tqsA	P0AFS5	344	0
xanP	P0AGM9	463	0
gatZ	P0C8J8	420	0
insH8	P0CE55	326	0
rcsB	P0DMC7	216	0
ykiC	P0DPN1	39	0
ymgK	P0DPN8	14	0
argH	P11447	457	0
csrD	P13518	646	0
pepD	P15288	485	0
hycE	P16431	569	0
cynX	P17583	384	0
katE	P21179	753	0
fmt	P23882	315	1
ascF	P24241	485	0
baeS	P30847	467	0
yidI	P31446	149	0
yidK	P31448	571	0
yddB	P31827	790	0
nuoF	P31979	445	0
yjaG	P32680	196	0
yjcE	P32703	549	0
nrfD	P32709	318	0
yeeA	P33011	352	0
yeiR	P33030	328	0
pepB	P37095	427	0
hybD	P37182	164	1
yfdC	P37327	310	0
ycaI	P37443	754	0
torR	P38684	230	1
ytfA	P39309	108	0
mdtM	P39386	410	0
azoR	P41407	201	1
yraH	P42913	194	0
yrdD	P45771	180	0
yhgE	P45804	574	0
speB	P60651	306	0
mlaF	P63386	269	0
eutS	P63746	111	0
yeaR	P64488	119	0
dolP	P64596	191	0
yrbL	P64610	210	0
yagN	P71297	146	0
yccU	P75874	137	1
yceM	P75931	307	0
yddK	P76123	318	1
ydiM	P76197	404	0
yegL	P76396	219	1
yegR	P76406	105	0
yfaT	P76466	207	0
fadI	P76503	436	0
yffR	P76549	130	0
ydcI	P77171	307	0
cusC	P77211	457	0
yafT	P77339	261	0
yagF	P77596	655	0
ydiJ	P77748	1018	0
ssuD	P80645	381	0
ygeO	Q46795	141	0
uacF	Q46820	639	0
ltnD	Q46888	302	0
yafL	Q47151	249	0
yafO	Q47157	132	0
ylcG	Q47272	46	0
ymgI	A5A611	57	0
gshB	P04425	316	1
appY	P05052	249	1
hisI	P06989	203	0
avtA	P09053	417	0
galT	P09148	348	0
gshA	P0A6W9	518	0
mscL	P0A742	136	1
rplL	P0A7K2	121	1
ubiE	P0A887	251	1
aat	P0A8P1	234	0
codB	P0AA82	419	0
mtr	P0AAD2	414	0
tyrP	P0AAD4	403	0
fabF	P0AAI5	413	0
iraP	P0AAN9	86	0
mcbA	P0AAX6	86	0
ycbK	P0AB06	182	1
aroG	P0AB91	350	0
mrdB	P0ABG7	370	1
coaBC	P0ABQ0	406	1
yeaW	P0ABR7	374	0
dnaG	P0ABS5	581	1
lptM	P0ADN6	67	0
ygiM	P0ADT8	206	0
yjcO	P0AF56	229	0
glnL	P0AFB5	349	0
sucB	P0AFG6	405	1
rssA	P0AFR0	301	0
srkA	P0C0K3	328	0
gatY	P0C8J6	284	0
insH7	P0CE54	326	0
insE1	P0CF66	99	1
insE2	P0CF67	99	0
yliM	P0DPN6	21	0
yhiY	P0DSG8	37	0
rlpA	P10100	362	0
malI	P18811	342	0
bisC	P20099	777	0
fecI	P23484	173	0
puuC	P23883	495	0
entS	P24077	416	0
lpxK	P27300	328	1
fpr	P28861	248	0
ydcC	P28917	378	0
greB	P30128	158	0
yedE	P31064	401	1
metI	P31547	217	0
rpnA	P31667	292	0
chaA	P31801	366	0
yihP	P32137	461	0
frwC	P32672	359	0
yehB	P33341	826	0
cobS	P36561	247	0
glaR	P37338	220	0
ucpA	P37440	263	0
yhjY	P37663	232	0
rfbB	P37759	361	0
mdoB	P39401	763	0
yqjG	P42620	328	0
yhdZ	P45769	252	0
ybaM	P45807	53	0
torZ	P46923	809	0
nei	P50465	263	0
yfjP	P52131	287	0
yfjR	P52133	233	0
ygaP	P55734	174	1
yifN	P56259	149	0
yceQ	P62066	106	0
gmhB	P63228	191	0
higB	P64578	104	0
rplY	P68919	94	1
hybO	P69741	372	0
hyfR	P71229	670	0
gsiB	P75797	512	0
yccS	P75870	717	0
jayE	P75981	263	0
pliG	P76002	133	0
ychS	P76023	91	0
smrA	P76053	187	1
paaK	P76085	437	0
ynbA	P76090	201	0
astB	P76216	447	1
kdgR	P76268	263	0
yegS	P76407	299	0
yfcR	P76501	170	0
yfdR	P76514	178	0
eutK	P76540	166	0
ypfH	P76561	232	0
yphG	P76585	1093	0
ycjT	P77154	755	0
yafZ	P77206	273	0
yqiK	P77306	553	0
yphD	P77315	332	0
ybbY	P77328	433	0
wcaA	P77414	279	0
rhmR	P77732	260	0
abgR	P77744	302	0
feaR	Q47129	301	0
lafU	Q47154	211	0
ynhF	A5A618	29	0
ibsE	C1P617	19	0
lacZ	P00722	1024	0
glyQ	P00960	303	1
mrcA	P02918	850	0
tyrB	P04693	397	1
fimG	P08190	167	0
araA	P08202	500	0
usg	P08390	337	0
hsdM	P08957	529	0
galK	P0A6T3	382	0
recF	P0A7H0	357	0
ykgM	P0A7N1	87	0
bamC	P0A903	344	0
mltA	P0A935	365	0
glpA	P0A9C0	542	0
metR	P0A9F9	317	0
nhaR	P0A9G2	301	0
panE	P0A9J4	303	0
lptB	P0A9V1	241	1
yedF	P0AA31	77	0
iscA	P0AAC8	107	0
ybhH	P0AAV8	350	0
ybhQ	P0AAW5	136	1
yciI	P0AB55	98	0
yciN	P0AB61	83	0
hflC	P0ABC3	334	0
accB	P0ABD8	156	0
cdd	P0ABF6	294	0
clpA	P0ABH9	758	0
dusB	P0ABT5	321	0
glnK	P0AC55	112	0
hokC	P0ACG4	50	0
allS	P0ACR0	308	0
lpxL	P0ACV0	306	0
brnQ	P0AD99	439	0
yjjB	P0ADD2	157	0
yjjQ	P0ADD7	241	0
emrB	P0AEJ0	512	0
glcG	P0AEQ1	134	0
yjfY	P0AF86	91	0
yejB	P0AFU0	364	0
glrR	P0AFU4	444	0
ribC	P0AFU8	213	1
sbmA	P0AFY6	406	0
tdcF	P0AGL2	129	0
insA5	P0CF11	91	0
rph	P0CG19	228	0
yriA	P0DSG9	24	0
ysgD	P0DSH7	18	0
yiaB	P11286	113	0
damX	P11557	428	0
metH	P13009	1227	0
cirA	P17315	663	0
mutY	P17802	350	0
yigA	P23305	235	0
phoQ	P23837	486	0
pdeA	P23842	729	0
appB	P26458	378	0
ftsP	P26648	470	0
wecG	P27836	246	0
yhdJ	P28638	294	0
pepT	P29745	408	0
leuD	P30126	201	0
yadC	P31058	412	0
marB	P31121	72	0
dgcZ	P31129	296	0
rhaM	P32156	104	0
zntA	P37617	732	0
eptB	P37661	563	0
rfbD	P37760	299	0
yjfP	P39298	249	0
arfB	P40711	140	0
hexR	P46118	289	0
yhgF	P46837	773	0
plsY	P60782	205	0
xanQ	P67444	466	0
mdtH	P69367	402	0
bluF	P75990	403	0
ycjQ	P76043	350	0
ycjR	P76044	262	0
stfR	P76072	1120	0
ddpA	P76128	516	0
yoaI	P76239	34	0
flhE	P76297	130	0
flhA	P76298	692	0
yoeA	P76356	130	0
yeeS	P76362	148	0
ypjB	P76612	263	0
ydjG	P77256	326	0
ydhP	P77389	389	0
prpE	P77495	628	0
ydjL	P77539	358	0
ydeP	P77561	759	0
ydhW	P77564	215	0
mhpT	P77589	403	0
ykgA	P77601	239	0
ydcT	P77795	337	1
xdhB	Q46800	292	0
yaiO	Q47534	257	0
uof	A8DYP9	28	0
